lat,lon,name,admin1,admin2,cc
39.55666,-104.89609,Acres Green,Colorado,Douglas County,US
37.46945,-105.87002,Alamosa,Colorado,Alamosa County,US
39.75778,-105.1625,Applewood,Colorado,Jefferson County,US
39.80276,-105.08748,Arvada,Colorado,Jefferson County,US
39.1911,-106.81754,Aspen,Colorado,Pitkin County,US
39.72943,-104.83192,Aurora,Colorado,Adams County,US
39.63137,-106.52225,Avon,Colorado,Eagle County,US
39.36887,-107.03282,Basalt,Colorado,Eagle County,US
39.44137,-108.02507,Battlement Mesa,Colorado,Garfield County,US
37.22556,-107.59811,Bayfield,Colorado,La Plata County,US
39.75887,-104.42746,Bennett,Colorado,Adams County,US
39.80443,-105.02609,Berkley,Colorado,Adams County,US
39.01305,-104.70081,Black Forest,Colorado,El Paso County,US
39.48165,-106.03835,Breckenridge,Colorado,Summit County,US
39.98526,-104.82053,Brighton,Colorado,Adams County,US
39.92054,-105.08665,Broomfield,Colorado,Broomfield County,US
38.84222,-106.13113,Buena Vista,Colorado,Chaffee County,US
39.30611,-102.26936,Burlington,Colorado,Kit Carson County,US
39.71137,-104.22774,Byers,Colorado,Arapahoe County,US
38.44098,-105.24245,Canon City,Colorado,Fremont County,US
39.40221,-107.21116,Carbondale,Colorado,Garfield County,US
39.53249,-104.90109,Carriage Club,Colorado,Douglas County,US
39.45804,-104.89609,Castle Pines,Colorado,Douglas County,US
39.37221,-104.85609,Castle Rock,Colorado,Douglas County,US
39.58471,-104.90109,Castlewood,Colorado,Arapahoe County,US
38.90165,-107.92645,Cedaredge,Colorado,Delta County,US
39.57916,-104.87692,Centennial,Colorado,Arapahoe County,US
37.75306,-106.10864,Center,Colorado,Saguache County,US
39.80193,-105.51416,Central City,Colorado,Gilpin County,US
39.64165,-104.95943,Cherry Hills Village,Colorado,Arapahoe County,US
38.8214,-102.35324,Cheyenne Wells,Colorado,Cheyenne County,US
38.85861,-104.69886,Cimarron Hills,Colorado,El Paso County,US
39.09193,-108.44898,Clifton,Colorado,Mesa County,US
39.90638,-105.37749,Coal Creek,Colorado,Boulder County,US
37.94529,-104.83526,Colorado City,Colorado,Pueblo County,US
38.83388,-104.82136,Colorado Springs,Colorado,El Paso County,US
39.58777,-105.06943,Columbine,Colorado,Jefferson County,US
39.6011,-105.03221,Columbine Valley,Colorado,Arapahoe County,US
39.80832,-104.93387,Commerce City,Colorado,Adams County,US
37.08835,-106.01974,Conejos,Colorado,Conejos County,US
37.34888,-108.58593,Cortez,Colorado,Montezuma County,US
37.84917,-106.92643,Creede,Colorado,Mineral County,US
38.86971,-106.98782,Crested Butte,Colorado,Gunnison County,US
38.74666,-105.17831,Cripple Creek,Colorado,Teller County,US
37.67889,-106.35337,Del Norte,Colorado,Rio Grande County,US
38.74221,-108.06896,Delta,Colorado,Delta County,US
39.73915,-104.9847,Denver,Colorado,Denver County,US
39.83943,-104.91859,Derby,Colorado,Adams County,US
37.7661,-108.90594,Dove Creek,Colorado,Dolores County,US
37.27528,-107.88007,Durango,Colorado,La Plata County,US
38.48056,-102.78186,Eads,Colorado,Kiowa County,US
39.65526,-106.82865,Eagle,Colorado,Eagle County,US
39.75304,-105.06415,Edgewater,Colorado,Jefferson County,US
39.64499,-106.5942,Edwards,Colorado,Eagle County,US
39.39498,-107.09033,El Jebel,Colorado,Eagle County,US
39.36027,-104.59691,Elizabeth,Colorado,Elbert County,US
38.83833,-104.38691,Ellicott,Colorado,El Paso County,US
39.64777,-104.98776,Englewood,Colorado,Arapahoe County,US
39.63332,-105.31721,Evergreen,Colorado,Jefferson County,US
39.22471,-106.00196,Fairplay,Colorado,Park County,US
39.85137,-104.99859,Federal Heights,Colorado,Adams County,US
38.39028,-105.1186,Florence,Colorado,Fremont County,US
38.73749,-104.78886,Fort Carson,Colorado,El Paso County,US
38.68222,-104.70081,Fountain,Colorado,El Paso County,US
38.12917,-104.02329,Fowler,Colorado,Otero County,US
39.94499,-105.81723,Fraser,Colorado,Grand County,US
39.57443,-106.09752,Frisco,Colorado,Summit County,US
39.15887,-108.72899,Fruita,Colorado,Mesa County,US
39.08165,-108.49676,Fruitvale,Colorado,Mesa County,US
39.68582,-105.27277,Genesee,Colorado,Jefferson County,US
39.7061,-105.6975,Georgetown,Colorado,Clear Creek County,US
39.70499,-104.93359,Glendale,Colorado,Arapahoe County,US
39.04527,-104.82442,Gleneagle,Colorado,El Paso County,US
39.55054,-107.32478,Glenwood Springs,Colorado,Garfield County,US
39.75554,-105.2211,Golden,Colorado,Jefferson County,US
39.06387,-108.55065,Grand Junction,Colorado,Mesa County,US
39.61721,-104.95081,Greenwood Village,Colorado,Arapahoe County,US
38.54582,-106.92532,Gunnison,Colorado,Gunnison County,US
39.64693,-106.95171,Gypsum,Colorado,Eagle County,US
39.55388,-104.96943,Highlands Ranch,Colorado,Douglas County,US
39.1361,-103.46994,Hugo,Colorado,Lincoln County,US
39.74249,-105.51361,Idaho Springs,Colorado,Clear Creek County,US
39.61665,-105.23721,Indian Hills,Colorado,Jefferson County,US
39.57582,-105.11221,Ken Caryl,Colorado,Jefferson County,US
39.59943,-105.98724,Keystone,Colorado,Summit County,US
39.34721,-104.46441,Kiowa,Colorado,Elbert County,US
39.65471,-105.29971,Kittredge,Colorado,Jefferson County,US
37.98501,-103.54383,La Junta,Colorado,Otero County,US
39.9936,-105.08971,Lafayette,Colorado,Boulder County,US
38.03,-107.31533,Lake City,Colorado,Hinsdale County,US
39.70471,-105.08137,Lakewood,Colorado,Jefferson County,US
38.08723,-102.62075,Lamar,Colorado,Prowers County,US
38.06667,-103.22271,Las Animas,Colorado,Bent County,US
39.25082,-106.29252,Leadville,Colorado,Lake County,US
39.26388,-103.69217,Limon,Colorado,Lincoln County,US
38.42916,-105.21999,Lincoln Park,Colorado,Fremont County,US
39.61332,-105.01665,Littleton,Colorado,Arapahoe County,US
39.19581,-108.81316,Loma,Colorado,Mesa County,US
